country,field,disclosed_investment,estimated_investment
Netherlands,General purpose,1254,7063
Netherlands,Other,224,1050
Netherlands,Cyber Security,145,254
New Zealand,Hardware,1064,1112
New Zealand,General purpose,1157,2113
New Zealand,Community and Lifestyle,21,214
New Zealand,Navigation and mapping,1051,1081
New Zealand,Information Technology,1064,1237
New Zealand,"Mobile, platforms & Internet services",46,237
New Zealand,Data and analytics,1166,2139
New Zealand,All,1352,2431
New Zealand,Other,57,66
New Zealand,Software,1174,2225
New Zealand,Energy and natural resources,1051,1083
Nigeria,General purpose,34,102
Nigeria,Data and analytics,34,103
Nigeria,Software,37,108
Nigeria,Finance,28,35
Nigeria,All,118,196
Norway,General purpose,1045,1361
Norway,Telecommunications,30,61
Norway,Data and analytics,1066,1396
Norway,Energy and natural resources,53,57
Norway,All,1520,2064
Norway,Hardware,265,392
Norway,"Mobile, platforms & Internet services",119,173
Norway,Manufacturing,454,515
Norway,Finance,43,142
Norway,Robotics,151,215
Norway,Information Technology,757,892
Norway,Real estate,285,289
Norway,Agriculture,30,41
Norway,Other,71,77
Norway,"Sales, retail, commerce, marketing",32,34
Norway,Consumer goods,41,42
Norway,Software,1106,1554
Norway,Professional services,63,134
Norway,Healthcare and Life Sciences,39,82
Philippines,Data and analytics,145,217
Philippines,Finance,137,147
Philippines,All,227,312
Philippines,General purpose,138,202
Philippines,Software,146,227
Poland,Hardware,71,550
Poland,"Sales, retail, commerce, marketing",95,200
Poland,Robotics,42,475
Poland,Healthcare and Life Sciences,47,89
Poland,Data and analytics,292,1182
Poland,General purpose,220,1075
Poland,Information Technology,61,259
Poland,Software,302,1244
Poland,Finance,42,115
Poland,All,549,1586
Poland,"Mobile, platforms & Internet services",75,574
Poland,Education,19,41
Poland,Transportation,44,500
Portugal,"Sales, retail, commerce, marketing",29,172
Portugal,Data and analytics,180,1001
Portugal,Privacy and Security,89,97
Portugal,Hardware,24,145
Portugal,Software,182,1009
Portugal,Finance,89,92
Portugal,Information Technology,116,457
Portugal,General purpose,186,799
Portugal,All,725,1597
Portugal,Other,24,34
Qatar,All,23,153
Romania,Software,78,103
Romania,Data and analytics,63,83
Romania,Biotechnology,29,30
Romania,General purpose,61,79
Romania,All,209,236
Russia,General purpose,54,332
Russia,Software,60,356
Russia,All,101,401
Russia,Data and analytics,59,356
Saudi Arabia,All,11222,30432
Saudi Arabia,Privacy and Security,43,61
Saudi Arabia,Computer Vision,1208,1463
Saudi Arabia,Software,7598,26404
Saudi Arabia,"Mobile, platforms & Internet services",3138,3405
Saudi Arabia,NLP,1209,1472
Saudi Arabia,Data and analytics,7616,26417
Saudi Arabia,Speech Recognition,1210,1465
Saudi Arabia,Facial Recognition,1202,1457
Saudi Arabia,Information Technology,1428,18354
Saudi Arabia,Hardware,1239,1532
Saudi Arabia,Lending and Investments,61,112
Saudi Arabia,Real estate,43,55
Saudi Arabia,Other,45,83
Saudi Arabia,Finance,2180,4197
Saudi Arabia,Cyber Security,43,45
Saudi Arabia,Community and Lifestyle,1036,1216
Saudi Arabia,General purpose,6439,8870
Saudi Arabia,"Sales, retail, commerce, marketing",4004,4483
Serbia,Transportation,43,43
Serbia,Software,46,90
Serbia,"Mobile, platforms & Internet services",44,44
Serbia,General purpose,46,47
Serbia,Hardware,44,44
Serbia,All,60,103
Singapore,Privacy and Security,126,441
Singapore,Computer Vision,417,5626
Singapore,Transportation,54,2206
Singapore,Professional services,2134,2399
Singapore,Cyber Security,62,193
Singapore,Software,14637,41494
Singapore,Media and Entertainment,1758,1985
Singapore,Information Technology,8981,12168
Singapore,"Mobile, platforms & Internet services",3421,17236
Singapore,Other,6671,7008
Singapore,Manufacturing,1576,1663
Singapore,All,24889,54593
Singapore,Agriculture,32,2037
Singapore,Finance,1587,1970
Singapore,Community and Lifestyle,91,177
Singapore,Data and analytics,8676,35416
Singapore,General purpose,8701,31188
Singapore,Semiconductor,1427,1427
Singapore,Education,70,2077
Singapore,Gaming,42,74
Singapore,Robotics,185,250
Singapore,Healthcare and Life Sciences,196,4349
Singapore,Consumer goods,1443,1601
Singapore,Energy and natural resources,144,464
Singapore,Navigation and mapping,58,2067
Singapore,Lending and Investments,64,111
Singapore,Hardware,9991,17664
Singapore,"Sales, retail, commerce, marketing",1577,14335
Singapore,Biotechnology,90,138
Slovakia,Information Technology,34,60
Slovakia,Data and analytics,46,56
Slovakia,All,126,159
Slovakia,General purpose,61,91
Slovakia,Software,58,91
Slovenia,All,43,44
South Africa,"Sales, retail, commerce, marketing",103,194
South Africa,Professional services,108,175
South Africa,All,596,1374
South Africa,Information Technology,133,391
South Africa,Data and analytics,260,879
South Africa,"Mobile, platforms & Internet services",104,188
South Africa,Other,110,173
South Africa,Software,271,890
South Africa,Finance,101,183
South Africa,Lending and Investments,92,96
South Africa,General purpose,167,590
South Africa,Hardware,26,136
South Korea,Software,5146,11037
South Korea,Data and analytics,4776,10315
South Korea,Professional services,120,488
South Korea,Manufacturing,115,450
South Korea,Healthcare and Life Sciences,369,761
South Korea,Computer Vision,160,392
South Korea,Education,304,552
South Korea,Semiconductor,117,298
South Korea,Biotechnology,162,304
South Korea,Navigation and mapping,47,1816
South Korea,Finance,252,441
South Korea,Robotics,123,346
South Korea,General purpose,4746,8570
South Korea,"Mobile, platforms & Internet services",2289,3490
South Korea,"Sales, retail, commerce, marketing",127,684
South Korea,Real estate,66,323
South Korea,Other,270,561
South Korea,Information Technology,837,4095
South Korea,Transportation,1187,3137
South Korea,Consumer goods,285,1136
South Korea,Media and Entertainment,1916,2784
South Korea,All,10115,16818
South Korea,NLP,81,282
South Korea,Energy and natural resources,42,78
South Korea,Telecommunications,42,189
South Korea,Hardware,895,3900
South Korea,Community and Lifestyle,1771,1819
South Korea,Privacy and Security,37,79
Spain,Data and analytics,2160,12613
Spain,Real estate,58,261
Spain,All,4611,16462
Spain,Manufacturing,44,198
Spain,Information Technology,226,3208
Spain,"Mobile, platforms & Internet services",1244,2176
Spain,Professional services,1070,2822
Spain,General purpose,1185,9292
Spain,Healthcare and Life Sciences,223,1437
Spain,Hardware,110,652
Spain,Energy and natural resources,47,136
Spain,Privacy and Security,59,1488
Spain,Finance,312,947
Spain,Other,66,1265
Spain,Biotechnology,132,1148
Spain,Media and Entertainment,264,449
Spain,Community and Lifestyle,243,1525
Spain,NLP,1038,2335
Spain,Software,2225,11566
Spain,"Sales, retail, commerce, marketing",426,2877
Sweden,Energy and natural resources,1083,1093
Sweden,Transportation,2244,9110
Sweden,Media and Entertainment,275,2677
Sweden,"Mobile, platforms & Internet services",147,4808
Sweden,Finance,3468,10630
Sweden,Professional services,1266,3692
Sweden,Real estate,47,54
Sweden,"Sales, retail, commerce, marketing",337,1814
Sweden,Community and Lifestyle,35,58
Sweden,Other,82,123
Sweden,General purpose,7624,30437
Sweden,Software,7724,28298
Sweden,Hardware,4655,9466
Sweden,Gaming,37,40
Sweden,Robotics,42,2417
Sweden,Information Technology,3528,10923
Sweden,Manufacturing,4595,4627
Sweden,All,19430,49405
Sweden,Data and analytics,7631,28190
Sweden,Healthcare and Life Sciences,155,2599
Sweden,Education,47,2424
Switzerland,Real estate,41,80
Switzerland,Energy and natural resources,36,129
Switzerland,Computer Vision,342,937
Switzerland,Robotics,163,1135
Switzerland,Software,1699,11059
Switzerland,Professional services,76,500
Switzerland,Agriculture,42,50
Switzerland,Media and Entertainment,88,853
Switzerland,All,4443,14874
Switzerland,Healthcare and Life Sciences,123,1227
Switzerland,Consumer goods,185,966
Switzerland,Transportation,437,1080
Switzerland,General purpose,1691,8514
Switzerland,Manufacturing,165,1021
Switzerland,"Military, public safety and government",26,41
Switzerland,Privacy and Security,387,1218
Switzerland,Finance,121,1427
Switzerland,"Mobile, platforms & Internet services",781,3157
Switzerland,Other,164,1256
Switzerland,Information Technology,798,4431
Switzerland,"Sales, retail, commerce, marketing",115,1463
Switzerland,Community and Lifestyle,29,340
Switzerland,Data and analytics,1611,8630
Switzerland,Cyber Security,373,942
Switzerland,Hardware,709,3166
Switzerland,Biotechnology,56,714
Taiwan,NLP,97,108
Taiwan,General purpose,421,926
Taiwan,Privacy and Security,28,56
Taiwan,Information Technology,121,351
Taiwan,Data and analytics,409,917
Taiwan,Hardware,190,309
Taiwan,Cyber Security,26,36
Taiwan,Other,80,146
Taiwan,"Mobile, platforms & Internet services",112,246
Taiwan,"Sales, retail, commerce, marketing",50,144
