Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth,AI_Publications,TFP_Change,Efficiency_Change,Technical_Change,FDI_inflows,FIN_credit_private,GDPPC_constant2015,GOV_consumption,INF_broadband,INF_internet,INF_mobile,INST_rule_of_law,OPEN_trade,POP_total,URB_urban_pop,LNPGDP_constant2015,LN_AI_pub,LN_HC_index,LN_AI_pub_L1
CHL,Chile,2021,67060872244.5355,801963099500.5398,273390120031.28,3.18922209739685,8314905.000000001,26518078.76375556,278.6290820409496,5.6534450014094295,11.31492048790479,519.0,1.0723485244930984,0.995175153811394,1.0775475255648619,4.81308998117864,109.321889639942,14051.4713630677,14.7373122384899,22.014,90.2328,136.572,0.889890670776367,64.8774063237834,19456334.0,88.4660511664452,9.5504823926288,6.253828811575473,1.1597770304434867,6.028278520230698
CHL,Chile,2022,70160762873.4074,832025707398.9202,279278925615.692,3.21398735046387,8876952.0,28530411.43867495,267.94156011683737,-3.8357524799014,2.1539935619247164,460.0,0.9831377816218116,0.9511478256902337,1.0336330011671564,6.2318507042491,112.621993376229,14283.1489501524,14.7249541091785,22.7902,93.5377,135.114,0.688454449176788,75.2016177425303,19553036.0,88.6395352768685,9.566835726300333,6.133398042996649,1.1675123315464897,6.253828811575473
CHL,Chile,2023,70123244870.3023,860547666899.2764,280734996501.051,3.23919916152954,9089552.0,29442869.217079155,260.7883849837412,-2.6696773467979273,0.5213679772467561,544.0,0.9720032934106891,1.0068964372183324,0.9653458463871025,5.47730938390937,109.494972608125,14280.3475638842,15.299339236854,22.9954,94.4574,135.871,0.625093758106232,60.7247236874408,19658835.0,88.8158617217972,9.56663957480496,6.300785794663244,1.175326126884688,6.133398042996649
CHL,Chile,2024,69107658604.9579,886627942159.2704,288158504434.814,,9319067.0,,,0.0,2.6443115487153834,578.0,,,,3.79129110936144,103.388713916332,14579.4001071307,15.0673471779886,22.9954,94.4574,135.871,0.625093758106232,63.859857248066,19764771.0,88.9950908479196,9.587364859800584,6.361302477572996,,6.300785794663244
COL,Colombia,2016,66620549038.7795,644451878205.9962,299618678572.191,2.53814482688904,20930863.0,53125561.64577321,209.8480384826633,-0.8446537008284127,2.0873825016278547,415.0,0.9737446724753279,0.9970868412233749,0.9765896331362599,4.90164572903473,47.0541978052352,6316.07067782542,14.5412847223026,12.4648,58.1365,123.71,-0.266068160533905,36.202652984202,47437512.0,77.2036266362166,8.750852565595604,6.030685260261263,0.9314334310561991,
COL,Colombia,2017,67855877161.6442,680085161457.3406,303691577641.583,2.5629780292511,21125155.0,54143308.12952402,206.17285320556698,-1.75135555408108,1.3593608678875047,495.0,0.9703538552916695,0.9913086488661141,0.9788614841619577,4.3931823276543,49.8054213986163,6309.67745292518,14.8806426275244,13.1537,62.2599,129.272,-0.366633266210556,35.2829149424588,48131078.0,77.2245191706503,8.749839837418161,6.206575926724928,0.9411698750670413,6.030685260261263
COL,Colombia,2018,68559434276.7921,714640337661.2656,311479214511.795,2.58082032203674,21271706.0,54898451.129190855,205.96070846563043,-0.10289654367106049,2.5643242827770862,581.0,0.9865453380013618,1.0323615969934945,0.955619950291098,3.38083573220188,45.8707074728715,6353.5464285392,15.4214808598175,13.6229,64.1264,131.595,-0.383742153644562,36.5347527968973,49024465.0,77.2804816598084,8.75676842867108,6.366470447731438,0.9481073026745829,6.206575926724928
COL,Colombia,2019,70092743821.6765,749001064599.8788,321405606655.842,2.59878706932068,21309813.0,55379666.47404173,207.87720927649352,0.9305176823000139,3.1868553924554455,674.0,0.9851800700761515,1.010685292641219,0.9747644269182795,4.33058240931506,46.0415781067709,6439.96359812647,15.7732334152149,13.9253,65.0069,132.811,-0.391183972358704,37.558533980839,49907985.0,77.4595528518377,8.77027816661759,6.51471269087253,0.9550448243772136,6.366470447731438
COL,Colombia,2020,53535626766.5933,765086638136.478,298309675728.093,2.61687898635864,19049197.0,49849443.33630604,205.0639981233396,-1.3533042717598365,-7.1859141376086395,778.0,0.9086163166215258,1.0115733497384474,0.898220892094931,2.7588942895314,51.9987790610817,5891.95523215403,17.15883586003,15.3363,69.7953,133.661,-0.491402626037598,34.0555709680101,50629997.0,77.6382533537045,8.681343179480681,6.658011045870748,0.9619823811179882,6.51471269087253
COL,Colombia,2021,62473975248.1539,789306281477.808,330530695024.886,2.63825917243958,20741208.0,54720682.2534772,211.53263236525515,3.1544465635673813,10.80119819048786,788.0,1.0737591222440637,1.033240059732839,1.0392155357601034,3.00175693787234,47.9124060650503,6457.16921807086,16.04633106217,16.4768,73.0284,146.628,-0.470828503370285,40.0591463936128,51188173.0,77.8339570326128,8.772946299201278,6.670766320845874,0.9701192952765902,6.658011045870748
COL,Colombia,2022,69657260568.4434,819498227972.361,354752900899.02,2.6601254940033,22032180.0,58608363.706469625,214.29419725773943,1.3055030146440272,7.328277294279828,599.0,1.0322313887973877,1.018165348004788,1.013815084966468,4.97124137726565,44.1883129591759,6856.72590505374,14.0050262426423,17.0075,72.7964,156.195,-0.427760243415833,48.2826551123359,51737944.0,78.0464633137335,8.832985333472989,6.396929655216146,0.9783732998774809,6.670766320845874
