Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,TFP,TFP_Growth,GDP_Growth
ARG,2021,Argentina,568636554720.066,91273371142.4809,12241621.0,3.13874697685242,12241621.0,1284444923043.3145,386.186822320056,1.6084483687220041,10.441811988250516
ARG,2022,Argentina,602872713790.916,100814337082.887,12881228.0,3.14963102340698,12881228.0,1321037013974.0356,391.3491251661335,1.336737182036507,6.020745375348602
ARG,2023,Argentina,591684674129.454,98847542616.3413,13293498.0,3.16060328483582,13293498.0,1353832705891.675,372.2430085762342,-4.882115574370694,-1.8557880304634566
ARG,2024,Argentina,583738758865.705,81821414740.2399,13335384.0,3.1716137699549805,13335384.0,1367962485337.3313,364.33993901112956,-2.1230941570487882,-1.3429307215773068
BRA,1992,Brazil,921636571041.486,157408696244.73,61896136.0,1.77301752567291,61896136.0,2020666955598.449,270.01741322729004,,
BRA,1993,Brazil,967024315134.652,172440758766.902,66570000.0,1.80186975002289,66570000.0,2092074366585.4285,264.1703882668761,-2.165425144448796,4.924690004637733
BRA,1994,Brazil,1023622994691.61,195438127098.98,69427335.0,1.8311915397644,,2182908775355.137,265.2807908888106,0.4203357648143058,5.85287036438964
BRA,1995,Brazil,1066858717573.94,199528534284.712,63812475.0,1.86099052429199,63812475.0,2273291870872.0923,284.94120229493234,7.411170382993237,4.223793633646888
BRA,1996,Brazil,1090424176256.21,201913940028.864,63192591.0,1.89644837379456,63192591.0,2361541217357.3516,285.68166264554515,0.25986426134554375,2.2088640505144364
BRA,1997,Brazil,1127442397626.76,218911286451.875,64520177.0,1.932581782341,64520177.0,2462375442941.359,283.6799469863868,-0.7006804849221004,3.3948459853160973
BRA,1998,Brazil,1131254256718.86,218552620469.963,65417263.0,1.96940386295319,65417263.0,2557809291264.254,274.9721562897705,-3.0695827424961353,0.33809790195258316
BRA,1999,Brazil,1136547820360.71,199155414557.845,66711062.00000001,2.0069272518158,66711062.00000001,2629074241258.886,266.8594280382334,-2.9503817262820586,0.4679375666796215
BRA,2000,Brazil,1186418964121.03,208741146224.95,80295093.0,2.04516577720642,,2706361675420.892,241.48026751988843,-9.510310617434447,4.387949443648775
BRA,2001,Brazil,1202908958645.15,211464123363.08,73088650.0,2.08590292930603,73088650.0,2782507715012.9272,254.46989173885535,5.37916590551113,1.3898964044574802
BRA,2002,Brazil,1239639324869.85,208411057628.535,75787338.0,2.12745189666748,75787338.0,2851793386890.816,250.70174874854368,-1.4807814647788131,3.0534618568366145
BRA,2003,Brazil,1253781489768.13,200106893263.436,76955937.0,2.16982817649841,76955937.0,2909310610809.711,246.12824971948098,-1.8242788699690982,1.1408289987706377
BRA,2004,Brazil,1325998860202.27,217089892052.109,81288843.0,2.21304869651794,81288843.0,2980934972321.334,245.89830313360346,-0.09342551541303701,5.759964636859949
