Country,CountryName,Year,AI_COMPOSITE,c_pat,c_pub,c_str,c_inf,c_ox
CHL,Chile,2019,0.27422678704661985,0.7036679193393159,0.21424173446158415,-0.8634791288514504,0.3131066005109714,1.0035968097726782
CHL,Chile,2020,0.1377393824909559,0.8606272357780225,0.33368643771120765,-0.8634791288514504,0.551264574853075,-0.19340220703607522
CHL,Chile,2021,0.8220749551639,0.8283235031162207,0.45606889180977617,1.14202078331966,0.8815053088960879,0.8024562886777546
CHL,Chile,2022,0.9206253844949639,0.8783252593909612,0.3907237622611562,1.14202078331966,1.104241654528737,1.0878154629743055
CHL,Chile,2023,0.9226633243645106,0.8138352849104983,0.4815475147505109,1.14202078331966,1.16542411970278,1.0104889191391033
CHL,Chile,2024,0.9974320132829846,0.985677385792777,0.5143835626413967,1.14202078331966,1.16542411970278,1.1796542149583094
COL,Colombia,2017,-0.7738613217568879,-1.4887342446017715,0.430429714060247,-0.8634791288514504,-1.1736616276345768,
COL,Colombia,2018,-0.7794694351953084,-1.7260057228931183,0.5171876772666871,-0.8634791288514504,-1.0455805663033524,
COL,Colombia,2019,-0.08693507827249003,-1.8659289316996246,0.5976231730867805,1.14202078331966,-0.97914664582556,0.6707562297562939
COL,Colombia,2020,-0.1970002909277174,-1.725542860792749,0.675376140056628,1.14202078331966,-0.6351846277421495,-0.4416708894799766
COL,Colombia,2021,0.16615694728013142,-1.2021705649641838,0.6822970881292323,1.14202078331966,-0.3890121652464397,0.5976495951623884
COL,Colombia,2022,0.31021934670831264,-0.424799531430927,0.5337146901100355,1.14202078331966,-0.3612380305646357,0.6613988221074306
COL,Colombia,2023,0.3214368503084406,-0.4854901474273147,0.6288602852447673,1.14202078331966,-0.1321457028371682,0.45393903324225865
COL,Colombia,2024,0.34664330957918527,-0.5429065610032288,0.611119281483734,1.14202078331966,-0.1321457028371682,0.6551287469329292
CRI,Costa Rica,2017,-0.9475373534404633,-1.153647018698371,-1.212831149122594,-0.8634791288514504,-0.560192117089438,
CRI,Costa Rica,2018,-0.48643976593998045,0.08295232383258325,-0.8255450522736344,-0.8634791288514504,-0.33968720646742034,
CRI,Costa Rica,2019,-0.3483713709292588,0.036339808389052604,-0.7156564047853367,-0.8634791288514504,0.13961638743477445,-0.33867751683333397
CRI,Costa Rica,2020,-0.538237985802921,0.3052064892661597,-0.7340512162798484,-0.8634791288514504,0.22639552464270712,-1.6252615977921734
CRI,Costa Rica,2021,-0.20418873334818963,1.2998907568581282,-0.7530915899830072,-0.8634791288514504,0.4266795432958924,-1.1309432480605113
CRI,Costa Rica,2022,-0.2754061961409694,1.036333792549052,-0.7340512162798484,-0.8634791288514504,0.48094874360276424,-1.2967831717253642
CRI,Costa Rica,2023,-0.2574816759434267,0.4564652469314731,-0.8255450522736344,-0.8634791288514504,0.6775148849200399,-0.7323643304435616
CRI,Costa Rica,2024,0.3566929072475161,0.2782583232454628,-0.632015020924807,1.14202078331966,0.6775148849200399,0.3176855656772247
DOM,Dominican Republic,2017,-1.6193245218348333,-1.7393550283085075,-2.561129004087667,-0.8634791288514504,-1.3133349260917084,
DOM,Dominican Republic,2018,-1.3630269772382677,-1.694068522374747,-1.9650274996807087,-0.8634791288514504,-0.9295327580461644,
DOM,Dominican Republic,2019,-1.2043362555640753,-1.6691470281346783,-1.9650274996807087,-0.8634791288514504,-0.6439155488048626,-0.880112072348677
DOM,Dominican Republic,2020,-1.4362722723636558,-1.5501398416443497,-1.9650274996807087,-0.8634791288514504,-0.486730955118151,-2.3159839365236192
DOM,Dominican Republic,2021,-1.2854434658250335,-1.2916846378518938,-2.1850308288086095,-0.8634791288514504,-0.2353634865978418,-1.8516592470153725
DOM,Dominican Republic,2022,-1.3455322936277399,-1.7258908660319408,-2.0639542597504095,-0.8634791288514504,-0.39545216354931545,-1.6788850499555825
DOM,Dominican Republic,2023,-1.0337376729643377,-1.701329798633177,-1.8813861158201792,-0.8634791288514504,-0.20622669966654872,-0.5162666218503341
DOM,Dominican Republic,2024,-0.4552289397050059,-1.9147402496403738,-1.3689259952737503,1.14202078331966,0.1129080929029529,-0.24740732983351865
MEX,Mexico,2017,-0.476437132183879,-0.21337720570288532,0.7597136047982066,-0.8634791288514504,-1.588605798979387,
MEX,Mexico,2018,-0.356655266814626,-0.11287107387413511,0.8857757676374518,-0.8634791288514504,-1.3360466321703703,
MEX,Mexico,2019,0.25459971381143187,0.16638798435437732,0.9611164771866244,-0.8634791288514504,-0.6394680205072826,1.6484412568748905
MEX,Mexico,2020,-0.14802497424368338,0.22332716542305767,0.9717080066407255,-0.8634791288514504,-0.37127791144601685,-0.7004030029847329
MEX,Mexico,2021,0.08420112209107203,0.5806774186756225,1.0121202904285431,-0.8634791288514504,-0.0512539877035401,-0.25705898209381506
MEX,Mexico,2022,0.23096169515967313,1.2909457218013898,0.9245327439208526,-0.8634791288514504,0.17360683965130924,-0.3707977007237355
MEX,Mexico,2023,0.30422212318638653,1.6824861102871433,0.9781245777653239,-0.8634791288514504,0.2864083932131127,-0.5624293364821968
MEX,Mexico,2024,0.41112796863924894,1.787254558971027,1.0121202904285431,-0.8634791288514504,0.2864083932131127,-0.16666427056498748
PER,Peru,2017,-1.2396746840615562,-1.576572754356092,-0.32616014206024935,-0.8634791288514504,-2.1924867109784327,
PER,Peru,2018,-0.8764509519231146,-0.54645769088076,-0.18686524385495834,-0.8634791288514504,-1.9090017441052898,
PER,Peru,2019,-0.6110753878409781,0.05013676167286771,-0.015627229586746626,-0.8634791288514504,-1.7167920724465209,-0.5096152699930407
PER,Peru,2020,-0.8699441486421124,0.18804192484552545,0.1392217033364665,-0.8634791288514504,-1.3759009060244396,-2.437604336516664
PER,Peru,2021,-0.2691917256331923,0.19325844797642497,0.2504806981714416,1.14202078331966,-1.0353478127244715,-1.8963707449090168
PER,Peru,2022,0.052232101069425454,0.02083495029233839,0.27140982054303925,1.14202078331966,-0.8279645507331659,-0.3451404980747446
PER,Peru,2023,0.24814639250746948,0.09070882410986435,0.4735237829939409,1.14202078331966,-0.5144482347357147,0.048926806849596736
PER,Peru,2024,0.3153138835540762,0.06641653130306725,0.4058129370679505,1.14202078331966,-0.3908991284471228,0.35321829452682585
URY,Uruguay,2017,-0.2201402512926789,0.5781249975159013,-0.9356597339132376,-0.8634791288514504,0.34045286007807113,
URY,Uruguay,2018,-0.18017297153391298,0.1828439969122605,-0.9493970492367522,-0.8634791288514504,0.9093402950402902,
URY,Uruguay,2019,0.24445891887724822,0.3403306307581619,-0.8255450522736344,-0.8634791288514504,1.1152948032316412,1.4556933415215227
URY,Uruguay,2020,0.3771601846237841,0.002770202424883576,-0.7340512162798484,1.14202078331966,1.3320029021620572,0.14305825149216794
URY,Uruguay,2021,0.5030467904206563,-0.07130312725368886,-0.5528211617388906,1.14202078331966,1.533363701985845,0.46397375579035566
URY,Uruguay,2022,0.4825219847922856,-0.29572891187081995,-0.6557821037555425,1.14202078331966,1.7145758827691417,0.5075242734989888
URY,Uruguay,2023,0.6129794642900148,0.07334512543367638,-0.6092454574744541,1.14202078331966,1.6353573813704312,0.8234194888007608
URY,Uruguay,2024,0.6948599632642354,0.1336920875421595,-0.5873930422847741,1.14202078331966,1.7400565410942632,1.0459234466498686
