CountryName,Year,Z2
Mexico,2013,8.692434786568672
Mexico,2014,8.763565434257627
Mexico,2015,8.738213099880003
Mexico,2016,8.765321750835065
Mexico,2017,8.815586609288973
Mexico,2018,8.858425214904177
Mexico,2019,8.896709983607211
Mexico,2020,8.934087821418153
Mexico,2021,8.914811969486882
Mexico,2022,8.938137315377865
Peru,2000,7.751681321046678
Peru,2001,7.939452087197493
Peru,2002,7.911331127323564
Peru,2003,8.050616904732934
Peru,2004,8.123494517749709
Peru,2005,8.213231517337777
Peru,2006,8.2154084075694
Peru,2007,8.378577597139765
Peru,2008,8.47686503634283
Peru,2009,8.508267827378528
Peru,2010,8.447325364280285
Peru,2011,8.545446188228889
Peru,2012,8.638582255198854
Peru,2013,8.693206390653051
Peru,2014,8.778775174750505
Peru,2015,8.763490580598322
Peru,2016,8.741594413860069
Peru,2017,8.781559836960211
Peru,2018,8.805105090241238
Peru,2019,8.823023766653517
Peru,2020,8.808909571439159
Peru,2021,8.738955618684468
Peru,2022,8.744351978981188
Uruguay,2000,8.036468128663477
Uruguay,2001,8.302145440835957
Uruguay,2002,8.311471806513623
Uruguay,2003,8.420763136127427
Uruguay,2004,8.501253016369759
Uruguay,2005,8.597544423909874
Uruguay,2006,8.604181519687108
Uruguay,2007,8.748272462046065
Uruguay,2008,8.81592966746061
Uruguay,2009,8.77104909028733
