Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth
ARG,2006,Argentina,470325565798.353,67164293724.504,9926045.0,2.7969753742218,9926045.0,625167914042.9769,27762903.428417426,507.6303445252021,2.7254192650940645,8.047151500430317
ARG,2007,Argentina,512690850741.56,80901540191.8901,10116000.0,2.80521464347839,10116000.0,674811058532.7181,28377551.333427392,531.1388925838673,4.631036799160082,9.007650875047402
ARG,2008,Argentina,533491913656.279,87936280775.266,10279805.0,2.81347823143005,10279805.0,729006786381.3481,28922007.590845786,531.3409744164835,0.03804689045328047,4.057233103464242
ARG,2009,Argentina,501917060966.235,68086553749.1582,10401878.0,2.82176613807678,10401878.0,760643000811.439,29351667.11280582,487.81747057533437,-8.191256826926718,-5.918525076349557
ARG,2010,Argentina,552738161802.463,85962395051.7292,10531926.0,2.83007836341858,10531926.0,808573245822.5962,29806175.897725593,520.6173081569071,6.72379313165814,10.125398156100317
ARG,2011,Argentina,585924294024.785,100900907666.981,10765734.0,2.8585422039032,10765734.0,869045491198.4473,30774304.994995613,527.052966168023,1.2361590577730563,6.003951692805698
ARG,2012,Argentina,579910247223.428,93761965457.9418,10843566.0,2.88729238510132,10843566.0,919355182096.4667,31308545.53914358,505.77893523294074,-4.036412334372508,-1.0264204544320643
ARG,2013,Argentina,593858966307.156,95955516955.605,10942848.0,2.91633176803589,10942848.0,969342939947.2483,31912975.255188003,502.1546260072694,-0.7165797096714055,2.4053237807942773
ARG,2014,Argentina,578937574935.696,89473196447.266,11047223.0,2.9456627368927,11047223.0,1010348989397.1519,32541393.137243986,476.41261370126085,-5.126311891356727,-2.5126153208137825
ARG,2015,Argentina,594749285413.212,92571210122.056,11220887.666666666,2.97528910636902,11220887.666666666,1052402750049.3502,33385384.838423822,474.5244412876411,-0.3963313227478449,2.731159828289309
ARG,2016,Argentina,582376550428.09,87222011290.2295,11394552.333333334,3.00521349906921,11394552.333333334,1087004623837.1122,34243062.4879839,451.9087014577957,-4.765979971121547,-2.0803278437780515
ARG,2017,Argentina,598790850843.677,98892817130.2083,11568217.0,3.03543877601624,11568217.0,1131547209775.4648,35114614.45117026,450.7363472072254,-0.25942280969329934,2.8185029777592074
ARG,2018,Argentina,583118120294.002,93210783977.9137,11744699.0,3.06596803665161,11744699.0,1168180633264.6052,36008871.73409413,427.03340815449224,-5.258714811795673,-2.617396462820476
ARG,2019,Argentina,571450737224.442,78342216931.0375,12041135.0,3.09680438041687,12041135.0,1188113818532.4126,37289039.61319089,406.6780215264636,-4.766696525219971,-2.000861002857768
ARG,2020,Argentina,514874343768.066,68106055855.5898,10936539.0,3.12795066833496,10936539.0,1196814183461.3818,34208954.47432136,386.5458599281213,-4.950393316751267,-9.90048481364636
ARG,2021,Argentina,568636554720.066,91273371142.4809,12241621.0,3.13874697685242,12241621.0,1228246845430.7937,38423350.9055231,392.281557229426,1.483833587655381,10.441811988250516
ARG,2022,Argentina,602872713790.916,100814337082.887,12881228.0,3.14963102340698,12881228.0,1267648840242.1409,40571115.32837865,397.04065194066794,1.2131833943084258,6.020745375348602
ARG,2023,Argentina,591684674129.454,98847542616.3413,13293498.0,3.16060328483582,13293498.0,1303113940846.375,42015473.4457584,377.2510553325904,-4.9842746608815265,-1.8557880304634566
ARG,2024,Argentina,583738758865.705,81821414740.2399,13335384.0,3.1716137699549805,13335384.0,1319779658544.2961,42294687.52203733,368.9412767156848,-2.2027184548442325,-1.3429307215773068
BRA,1992,Brazil,921636571041.486,157408696244.73,61896136.0,1.77301752567291,61896136.0,1173105935558.82,109742933.89943393,326.62310264535864,,
BRA,1993,Brazil,967024315134.652,172440758766.902,66570000.0,1.80186975002289,66570000.0,1286891397547.781,119950469.25902379,313.1457066067206,-4.126283759318639,4.924690004637733
