iso3,country,year,rank,n_ranked,rank_pct,score_raw,score_100,score_scale,panel_a,panel_b,latam_panel,country_source,source_file,source_sheet
BEN,Benin,2020,130,172,0.7543859649122807,31.668,31.668,0-100,0,0,0,Benin,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BEN,Benin,2021,145,160,0.9056603773584906,28.7305943,28.7305943,0-100,0,0,0,Benin,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BEN,Benin,2022,108,181,0.5944444444444444,35.83543571,35.83543571,0-100,0,0,0,Benin,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BEN,Benin,2023,97,193,0.5,41.37191592,41.37191592,0-100,0,0,0,Benin,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BEN,Benin,2024,96,188,0.5080213903743316,42.96796567,42.96796567,0-100,0,0,0,Benin,2024-GAIRI-data.xlsx,Ranking
BEN,Benin,2025,90,195,0.4587628865979381,41.71,41.71,0-100,0,0,0,Benin,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BFA,Burkina Faso,2019,124,194,0.6373056994818653,2.8588428571428572,28.588428571428572,0-10,0,0,0,Burkina Faso,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BFA,Burkina Faso,2020,136,172,0.7894736842105263,30.956,30.956,0-100,0,0,0,Burkina Faso,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BFA,Burkina Faso,2021,126,160,0.7861635220125787,32.24337189,32.24337189,0-100,0,0,0,Burkina Faso,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BFA,Burkina Faso,2022,159,181,0.8777777777777778,26.20130301,26.20130301,0-100,0,0,0,Burkina Faso,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BFA,Burkina Faso,2023,164,193,0.8489583333333334,27.49699619,27.49699619,0-100,0,0,0,Burkina Faso,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BFA,Burkina Faso,2024,162,188,0.8609625668449198,29.27660868,29.27660868,0-100,0,0,0,Burkina Faso,2024-GAIRI-data.xlsx,Ranking
BFA,Burkina Faso,2025,127,195,0.6494845360824743,29.45,29.45,0-100,0,0,0,Burkina Faso,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BGD,Bangladesh,2019,103,194,0.5284974093264249,3.807837592627716,38.07837592627716,0-10,0,0,0,Bangladesh,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BGD,Bangladesh,2020,123,172,0.7134502923976608,33.003,33.003,0-100,0,0,0,Bangladesh,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BGD,Bangladesh,2021,110,160,0.6855345911949685,36.09945532,36.09945532,0-100,0,0,0,Bangladesh,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BGD,Bangladesh,2022,80,181,0.4388888888888889,43.62840762,43.62840762,0-100,0,0,0,Bangladesh,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BGD,Bangladesh,2023,82,193,0.421875,46.04283084,46.04283084,0-100,0,0,0,Bangladesh,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BGD,Bangladesh,2024,80,188,0.42245989304812837,47.11916395,47.11916395,0-100,0,0,0,Bangladesh,2024-GAIRI-data.xlsx,Ranking
BGD,Bangladesh,2025,75,195,0.38144329896907214,48.37,48.37,0-100,0,0,0,Bangladesh,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BGR,Bulgaria,2019,47,194,0.23834196891191708,5.806067715933184,58.060677159331846,0-10,0,0,0,Bulgaria,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BGR,Bulgaria,2020,50,172,0.28654970760233917,51.424,51.424,0-100,0,0,0,Bulgaria,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BGR,Bulgaria,2021,42,160,0.2578616352201258,60.06809672,60.06809672,0-100,0,0,0,Bulgaria,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BGR,Bulgaria,2022,44,181,0.2388888888888889,60.33310733,60.33310733,0-100,0,0,0,Bulgaria,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BGR,Bulgaria,2023,51,193,0.2604166666666667,58.64499758,58.64499758,0-100,0,0,0,Bulgaria,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BGR,Bulgaria,2024,52,188,0.2727272727272727,60.63955798,60.63955798,0-100,0,0,0,Bulgaria,2024-GAIRI-data.xlsx,Ranking
