country_source,iso3,country,editions,n_editions
New Zealand,NZL,New Zealand,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Nicaragua,NIC,Nicaragua,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Niger,NER,Niger,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Nigeria,NGA,Nigeria,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
North Macedonia,MKD,North Macedonia,"2020, 2021, 2022, 2023, 2024, 2025",6
Republic of North Macedonia,MKD,North Macedonia,2019,1
Norway,NOR,Norway,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Oman,OMN,Oman,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Pakistan,PAK,Pakistan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Palau,PLW,Palau,"2019, 2025",2
Panama,PAN,Panama,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Papua New Guinea,PNG,Papua New Guinea,"2019, 2021, 2022, 2023, 2024, 2025",6
Paraguay,PRY,Paraguay,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Peru,PER,Peru,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Philippines,PHL,Philippines,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Poland,POL,Poland,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Portugal,PRT,Portugal,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Qatar,QAT,Qatar,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Republic of Korea,KOR,Republic of Korea,"2020, 2021, 2022, 2023, 2024, 2025",6
South Korea,KOR,Republic of Korea,2019,1
Romania,ROU,Romania,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Russia,RUS,Russia,2019,1
Russian Federation,RUS,Russia,"2020, 2021, 2022, 2023, 2024, 2025",6
Rwanda,RWA,Rwanda,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,"2019, 2020, 2023, 2024, 2025",5
Saint Lucia,LCA,Saint Lucia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,"2019, 2020, 2022, 2023, 2024, 2025",6
Samoa,WSM,Samoa,"2019, 2020, 2022, 2023, 2024, 2025",6
San Marino,SMR,San Marino,"2019, 2023, 2024, 2025",4
Sao Tome and Principe,STP,Sao Tome and Principe,"2019, 2022, 2023, 2024, 2025",5
Saudi Arabia,SAU,Saudi Arabia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Senegal,SEN,Senegal,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Serbia,SRB,Serbia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Seychelles,SYC,Seychelles,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Sierra Leone,SLE,Sierra Leone,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Singapore,SGP,Singapore,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Slovakia,SVK,Slovakia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Slovenia,SVN,Slovenia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Solomon Islands,SLB,Solomon Islands,"2019, 2020, 2022, 2023, 2024, 2025",6
Somalia,SOM,Somalia,"2019, 2023, 2024, 2025",4
South Africa,ZAF,South Africa,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
