ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BFA,Burkina Faso,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,1.00703823566437,1.00707519054413,1.00711226463318,1.00714933872223,1.00718629360199,1.00722336769104,1.00726044178009,1.00729739665985,1.0073344707489,1.00737154483795,1.007408618927,1.00808680057526,1.00876545906067,1.00944459438324,1.01012420654297,1.01080417633057,1.01148474216461,1.01216566562653,1.0128470659256,1.01352894306183,1.01421129703522,1.015740275383,1.01727151870728,1.01880514621735,1.02034103870392,1.02187919616699,1.02341973781586,1.02496254444122,1.02650773525238,1.02805519104004,1.02960503101349,1.03352189064026,1.03745377063751,1.04140055179596,1.0453622341156,1.04933905601501,1.0533310174942,1.05733823776245,1.06136059761047,1.06539833545685,1.06945133209229,1.07874643802643,1.08812236785889,1.09757959842682,1.10711920261383,1.11674165725708,1.1264476776123,1.13623821735382,1.14611375331879,1.15607511997223,1.16612303256989,1.17889547348022,1.1918078660965,1.20486176013947,1.21805846691132,1.23139977455139,1.24488723278046,1.25852251052856,1.27230703830719,1.28624248504639,1.3003306388855,1.31342136859894,1.34470093250275,1.37952566146851
BGD,Bangladesh,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,1.12912881374359,1.129225730896,1.13452041149139,1.13984000682831,1.14518451690674,1.15055406093597,1.15594875812531,1.15830588340759,1.16066777706146,1.16303443908691,1.16540598869324,1.16778242588043,1.1685893535614,1.16939675807953,1.1702047586441,1.17101335525513,1.17182242870331,1.19690370559692,1.2225216627121,1.24868810176849,1.27541446685791,1.30271291732788,1.31782627105713,1.33311498165131,1.34858119487762,1.36422657966614,1.38005363941193,1.39622092247009,1.41257762908936,1.42912590503693,1.44586801528931,1.46280634403229,1.48074245452881,1.49889862537384,1.51727735996246,1.53588140010834,1.55471360683441,1.57138729095459,1.5882396697998,1.60527288913727,1.62248873710632,1.63988935947418,1.66190958023071,1.68422555923462,1.70684111118317,1.72466349601746,1.74209010601044,1.76760101318359,1.79348564147949,1.81974923610687,1.84639751911163,1.87343597412109,1.89753115177155,1.92193627357483,1.9466552734375,1.9716922044754,1.99705111980438,2.02273631095886,2.04875159263611,2.07510161399841,2.10179042816162,2.12882280349731,2.07164478302002,2.1118311882019,2.15412998199463
BGR,Bulgaria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,2.40061664581299,2.41859173774719,2.43670153617859,2.45494699478149,2.47332906723022,2.4918487071991,2.51050710678101,2.52930498123169,2.5482439994812,2.56492304801941,2.57783770561218,2.59413504600525,2.61053514480591,2.62703919410706,2.64364767074585,2.66036081314087,2.67717981338501,2.69410514831543,2.71113753318787,2.72827768325806,2.74552607536316,2.76077151298523,2.7761013507843,2.79151654243469,2.80701732635498,2.82260394096375,2.8382773399353,2.85403776168823,2.86988592147827,2.88582158088684,2.90184617042542,2.91945862770081,2.93717789649963,2.95500469207764,2.97293972969055,2.99098372459412,3.00913739204407,3.02740073204041,3.04577541351318,3.06426119804382,3.0828595161438,3.09415435791016,3.10549068450928,3.11686825752258,3.12828779220581,3.1397488117218,3.15125203132629,3.16279745101929,3.17438507080078,3.18601512908936,3.19768786430359,3.21906208992004,3.24076652526855,3.26280808448792
BHR,Bahrain,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.28617012500763,1.31521809101105,1.34492206573486,1.37529695034027,1.40635776519775,1.43812012672424,1.49351251125336,1.55103850364685,1.61078023910522,1.67282295227051,1.7302930355072,1.77031087875366,1.81125426292419,1.85314452648163,1.89600360393524,1.93985402584076,1.97333717346191,2.00739812850952,2.04204726219177,2.07729411125183,2.11314964294434,2.13734006881714,2.16180753707886,2.18655490875244,2.21158576011658,2.23690319061279,2.25751900672913,2.27832508087158,2.29932284355164,2.32051396369934,2.34190058708191,2.33037757873535,2.31891107559204,2.30750107765198,2.29614734649658,2.28484916687012,2.28080487251282,2.27676749229431,2.27273750305176,2.268714427948,2.26469850540161,2.30664491653442,2.34936833381653,2.39288306236267,2.43720364570618,2.48234534263611,2.52832293510437,2.5783224105835,2.71675133705139,2.75606608390808,2.79594969749451,2.80802702903748,2.82015657424927,2.81691694259644
BLZ,Belize,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,2.36617422103882,2.37806582450867,2.39001750946045,2.40202879905701,2.41410088539124,2.42623329162598,2.4072847366333,2.38848423957825,2.36983036994934,2.35132217407227,2.33295869827271,2.34585547447205,2.35882353782654,2.37186336517334,2.38497519493103,2.39815950393677,2.44070744514465,2.4840099811554,2.52808094024658,2.56869459152222,2.59928965568543,2.63144421577454,2.66399621963501,2.69695115089417,2.73031377792358,2.76408910751343,2.80099892616272,2.83840155601501,2.87630391120911,2.91471219062805,2.95363330841064,2.98325705528259,3.0131778717041,3.04339909553528,3.07392311096191,3.10475325584412,3.13652086257935,3.16861343383789,3.20103430747986,3.23378705978394,3.26687455177307,3.19089961051941,3.11669135093689,3.04420876502991,2.97341203689575,2.90426158905029,2.90106010437012,2.89786219596863,2.89466762542725,2.89147663116455,2.88828921318054,2.86932563781738,2.89482998847961,2.9209086894989
BOL,Bolivia (Plurinational State of),hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.3233608007431,1.33510482311249,1.34695291519165,1.3589061498642,1.37096548080444,1.38313186168671,1.40209138393402,1.42131066322327,1.44079351425171,1.46054327487946,1.48056387901306,1.49660634994507,1.51282262802124,1.52921462059021,1.54578423500061,1.56253325939178,1.57946395874023,1.59657800197601,1.61387753486633,1.63136446475983,1.64904093742371,1.6729941368103,1.6972953081131,1.71879017353058,1.73757469654083,1.75656449794769,1.77576184272766,1.79516887664795,1.81478822231293,1.83462190628052,1.85467219352722,1.88364088535309,1.9130619764328,1.94294261932373,1.97328996658325,2.00411152839661,2.03541421890259,2.06720590591431,2.09949421882629,2.13228678703308,2.16559147834778,2.19608664512634,2.22701120376587,2.25837111473084,2.29017281532288,2.32242250442505,2.35512590408325,2.38829016685486,2.42192125320435,2.45602583885193,2.4906108379364,2.51987934112549,2.54949164390564,2.57307386398315,2.59339308738709,2.61387252807617,2.63451361656189,2.65531778335571,2.67628622055054,2.69742035865784,2.71872138977051,2.7451503276825,2.77183604240418,2.7987813949585,2.82598876953125,2.85346055030823,2.88119912147522,2.90920758247376,2.93748831748962,2.96604371070862,2.99487709999084,3.02450704574585,3.05485272407532,3.08593535423279
BRA,Brazil,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.30044388771057,1.30809342861176,1.31578814983368,1.32352793216705,1.33131337165833,1.33914458751678,1.35034668445587,1.36164247989655,1.37303268909454,1.38451826572418,1.3960999250412,1.40659320354462,1.41716527938843,1.42781686782837,1.4385484457016,1.44936072826386,1.46191036701202,1.47456860542297,1.48733639717102,1.50021481513977,1.51320481300354,1.50219655036926,1.49126839637756,1.48041987419128,1.4696501493454,1.45895874500275,1.46344685554504,1.46794879436493,1.4724645614624,1.47699427604675,1.48153781890869,1.50794196128845,1.53481662273407,1.56217014789581,1.59001123905182,1.61834859848022,1.63802647590637,1.65794384479523,1.67810320854187,1.69850778579712,1.71669137477875,1.74462711811066,1.77301752567291,1.80186975002289,1.8311915397644,1.86099052429199,1.89644837379456,1.932581782341,1.96940386295319,2.0069272518158,2.04516577720642,2.08590292930603,2.12745189666748,2.16982817649841,2.21304869651794,2.25713014602661,2.29880857467651,2.34125638008118,2.38448834419251,2.42851853370667,2.47336173057556,2.5608959197998,2.62187433242798,2.68430471420288,2.74822163581848,2.81366038322449,2.8806574344635,2.94924998283386,3.01947546005249,3.09137320518494,3.16498303413391,3.22658061981201,3.29099345207214,3.35838437080383
BRB,Barbados,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,1.87696743011475,1.92393147945404,1.97207069396973,2.02141427993774,2.07199263572693,2.12383651733398,2.19698619842529,2.27265548706055,2.35093092918396,2.43190240859985,2.5156626701355,2.47937917709351,2.44361925125122,2.40837526321411,2.37363934516907,2.3394045829773,2.30106067657471,2.26334547996521,2.22624826431274,2.18975901603699,2.1538679599762,2.20062160491943,2.24838995933533,2.29719543457031,2.34706020355225,2.3980073928833,2.43332695960999,2.46916699409485,2.50553488731384,2.54243850708008,2.57336521148682,2.59548258781433,2.61779022216797,2.64028930664063,2.66298198699951,2.6858696937561,2.68498992919922,2.68411016464233,2.68323087692261,2.68235182762146,2.68147325515747,2.69999504089355,2.7186450958252,2.73742389678955,2.75633239746094,2.77537131309509,2.78029942512512,2.785236120224,2.79018187522888,2.79513621330261,2.80009937286377,2.80511355400085,2.81015086174011,2.81521153450012,2.82029557228088,2.82540321350098,2.83053469657898,2.83569002151489,2.84086918830872,2.84607243537903,2.85130000114441,2.85655212402344,2.86182856559753,2.86712980270386
BRN,Brunei Darussalam,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.58987641334534,1.62520956993103,1.66132807731628,1.69824922084808,1.72934353351593,1.75823295116425,1.82421803474426,1.89267933368683,1.96371006965637,2.03740644454956,2.11386847496033,2.13661193847656,2.15960025787354,2.18283581733704,2.20632123947144,2.23005938529968,2.26965928077698,2.30996227264404,2.35098099708557,2.39272785186768,2.43521642684937,2.4627628326416,2.49062061309814,2.51879382133484,2.54728555679321,2.57082223892212,2.57887172698975,2.58694696426392,2.59504699707031,2.60317277908325,2.61132383346558,2.61798334121704,2.6246600151062,2.63135361671448,2.63806438446045,2.64479231834412,2.65514659881592,2.66554164886475,2.6759774684906,2.68645405769348,2.69697141647339,2.72146034240723,2.73249530792236,2.74364900588989,2.75492358207703,2.76632022857666,2.77784085273743,2.78948664665222,2.80125975608826,2.81316184997559,2.82519459724426,2.83735990524292,2.84965920448303,2.86209464073181
BWA,Botswana,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,1.19057202339172,1.19119691848755,1.19182217121124,1.19244766235352,1.19307351112366,1.19369971752167,1.19433605670929,1.19497275352478,1.19560980796814,1.19624710083008,1.19688487052917,1.22517323493958,1.25413036346436,1.28377175331116,1.31411373615265,1.34517288208008,1.34791243076324,1.35065746307373,1.35340809822083,1.35616433620453,1.35892617702484,1.41894972324371,1.48162436485291,1.54706740379334,1.61540102958679,1.68675303459167,1.74837827682495,1.8063759803772,1.86629748344421,1.9282066822052,1.99216961860657,2.04076838493347,2.09055280685425,2.14155173301697,2.19379472732544,2.24731206893921,2.28850150108337,2.33044576644897,2.37315845489502,2.41665434837341,2.46094727516174,2.494708776474,2.52893304824829,2.56243538856506,2.58605027198792,2.60988306999207,2.6307475566864,2.65177893638611,2.67297863960266,2.69434762001038,2.71588730812073,2.73850703239441,2.76163005828857,2.78527045249939,2.80944228172302,2.83416080474854,2.85944128036499,2.88529968261719,2.91175222396851,2.93881607055664,2.96650910377502,2.99484920501709,3.02385544776917,3.05354738235474
