ISO code,Country,Variable code,Variable name,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BGR,Bulgaria,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,2.28980803489685,2.29699087142944,2.26802563667297,2.24130845069885,2.20540022850037,2.21596646308899,2.20170640945435,2.18375563621521,2.12726736068726,2.0973973274231,2.07976841926575,2.05071091651917,2.05722761154175,2.08930921554565,2.21122264862061,2.06606340408325,1.91816508769989,1.87185716629028,1.78746163845062,1.73211944103241,1.6604083776474,1.60384678840637,1.71485948562622,1.42252683639526,1.4181991815567,1.22489678859711,1.22439575195313,1.2024861574173,1.18124198913574,1.15386986732483,1.13020956516266,1.12129282951355,1.09436655044556,1.05981850624084,1.01411151885986,0.969937026500702,0.984969735145569,0.99744039773941,0.98635071516037,0.95969295501709,0.940525472164154,0.9434455037117,0.95942884683609,0.947319328784943,0.952609419822693,0.956224679946899,0.937368929386139,1,1.01087820529938,1.03544390201569
BHR,Bahrain,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,3.15538430213928,2.74753189086914,3.12560510635376,3.10544919967651,2.96250200271606,2.75686383247376,2.53522324562073,2.19308423995972,1.8879451751709,1.8427197933197,1.75106132030487,1.41683924198151,1.38851487636566,1.37253606319428,1.44065868854523,1.40764796733856,1.415243268013,1.40789794921875,1.44853007793427,1.55268096923828,1.45543205738068,1.43968796730042,1.44785928726196,1.43546295166016,1.46050012111664,1.47923147678375,1.5195506811142,1.49992167949677,1.46022748947144,1.46169745922089,1.47590267658234,1.45844221115112,1.43751561641693,1.40486073493958,1.33188819885254,1.27059936523438,1.26804113388062,1.26066219806671,1.24473941326141,1.22510242462158,1.19695568084717,1.15588319301605,1.11551249027252,1.10178470611572,1.06059741973877,1.05257618427277,0.988825976848602,1,0.995170056819916,0.96611887216568
BOL,Bolivia (Plurinational State of),rtfpna,TFP at constant national prices (2021=1),1.25493133068085,1.32166409492493,1.23095083236694,1.20868277549744,1.17926919460297,1.18317425251007,1.22191476821899,1.21514666080475,1.23632884025574,1.27324330806732,1.27948105335236,1.28388702869415,1.32143306732178,1.39997291564941,1.17973244190216,1.1964944601059,1.1655547618866,1.19372129440308,1.24311184883118,1.26255369186401,1.27751731872559,1.33606600761414,1.35309076309204,1.37700927257538,1.34141111373901,1.29681348800659,1.25565075874329,1.22581768035889,1.1794855594635,1.11874294281006,1.09039413928986,1.04704451560974,1.00923097133636,1.00842392444611,1.02709269523621,1.02345168590546,1.02531778812408,1.03026080131531,1.00650191307068,1.01046252250671,1.00637471675873,1.01579809188843,1.02078831195831,1.02538728713989,1.02089703083038,0.986467957496643,0.975588142871857,0.984632670879364,0.994201838970184,1.02132999897003,1.02003502845764,1.03982269763947,1.05855548381805,1.07057559490204,1.08756458759308,1.09161531925201,1.09821140766144,1.09583377838135,1.09407460689545,1.11478471755981,1.10101723670959,1.09903645515442,1.09205913543701,1.10450875759125,1.11464416980743,1.08589339256287,1.00900816917419,1,1.00246381759644,1.00146269798279
BRA,Brazil,rtfpna,TFP at constant national prices (2021=1),0.952063620090485,0.968268096446991,0.963096022605896,1.00433003902435,1.01697182655334,1.03277993202209,1.05768120288849,1.14931464195251,1.15444111824036,1.18293368816376,1.18473327159882,1.21372866630554,1.20465886592865,1.22331702709198,1.29643309116364,1.29270255565643,1.35050761699677,1.40582072734833,1.46889472007751,1.5080554485321,1.53628277778625,1.52281224727631,1.57840549945831,1.51627933979034,1.50173962116241,1.5610591173172,1.66019237041473,1.50330674648285,1.43036282062531,1.3537472486496,1.37761223316193,1.40815687179565,1.44353008270264,1.42747938632965,1.36918032169342,1.38412797451019,1.28442049026489,1.26557421684265,1.22577309608459,1.25510692596436,1.28627181053162,1.29068040847778,1.28493392467499,1.28410077095032,1.2561662197113,1.20888757705688,1.20935082435608,1.19310808181763,1.1849068403244,1.16794836521149,1.18073678016663,1.17700052261353,1.17689442634583,1.21182799339294,1.22258377075195,1.19080650806427,1.21533215045929,1.19660604000092,1.17986083030701,1.16381084918976,1.12862420082092,1.07513856887817,1.03783988952637,1.04225409030914,1.03375899791718,1.01136755943298,1.04424893856049,1,0.969752252101898,0.976752758026123
BRB,Barbados,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,0.960633039474487,1.01099252700806,0.993185937404633,1.09797501564026,1.1296192407608,1.1839257478714,1.26464653015137,1.31513655185699,1.32523596286774,1.33741903305054,1.28259027004242,1.34612584114075,1.32572209835053,1.37749350070953,1.4303023815155,1.41407346725464,1.46224701404572,1.38510656356812,1.32326912879944,1.31158626079559,1.34999990463257,1.34683358669281,1.35932564735413,1.35006940364838,1.34144628047943,1.28705513477325,1.25185465812683,1.17566788196564,1.13737428188324,1.19407188892365,1.16030585765839,1.08819985389709,1.0805960893631,1.09384822845459,1.08005356788635,1.04342496395111,1.05139172077179,1.01032674312592,1.01994955539703,1.0298171043396,1.01481354236603,1.0334849357605,1.09366548061371,1.13423192501068,1.18994402885437,1.21689760684967,1.23602557182312,1.20777714252472,1.21487903594971,1.18177318572998,1.17988610267639,1.1312700510025,1.11364817619324,1.13923037052155,1.13344204425812,1.16478753089905,1.01956188678741,1,1.14511954784393,1.17618143558502
BWA,Botswana,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,1.07254183292389,1.01946699619293,1.0385195016861,1.16793549060822,1.20237171649933,1.13619983196259,1.11853098869324,1.15734207630157,1.1968058347702,1.23107874393463,1.22324562072754,1.23984682559967,1.3155210018158,1.3968243598938,1.49160981178284,1.59359300136566,1.64864075183868,1.65347397327423,1.63707590103149,1.70639598369598,1.80960035324097,1.82911133766174,1.83515226840973,1.84989237785339,1.89913105964661,2.19346141815186,2.07728242874146,2.00259590148926,1.91396105289459,1.83340609073639,1.79907834529877,1.8169732093811,1.81288135051727,1.85357630252838,1.71197855472565,1.73271048069,1.6487021446228,1.56740248203278,1.58368217945099,1.58790695667267,1.55649828910828,1.5863094329834,1.66031301021576,1.63772857189178,1.56524097919464,1.25406241416931,1.30396449565887,1.25521874427795,1.16439616680145,1.22052395343781,1.2252322435379,1.09917688369751,1.11031091213226,1.09849989414215,1.08331084251404,1.05699181556702,0.918251752853394,1,1.03679037094116,1.00561928749084
CAF,Central African Republic,rtfpna,TFP at constant national prices (2021=1),,,,,,,,,,,,,,,,,,,,,,,,,,,1.13133108615875,1.15228652954102,1.19358146190643,1.11403512954712,1.19033074378967,1.20079410076141,1.22362446784973,1.14658939838409,1.16544818878174,1.18018412590027,1.14479613304138,1.13884902000427,1.10863626003265,1.09498953819275,1.12924027442932,1.1525753736496,1.07545208930969,1.14402639865875,1.19402682781219,1.23965680599213,1.24827790260315,1.24929428100586,1.23659300804138,1.15726327896118,1.19031751155853,1.20601403713226,1.24615240097046,1.2808473110199,1.30140054225922,1.33377838134766,1.37078535556793,1.41117715835571,1.47703540325165,0.958277642726898,0.950447499752045,0.97962749004364,1.00455093383789,1.01727199554443,1.02247262001038,1.03339087963104,1.01186203956604,1,0.989105999469757,0.982999622821808
CAN,Canada,rtfpna,TFP at constant national prices (2021=1),0.670176386833191,0.718259036540985,0.747258186340332,0.750009000301361,0.7722088098526,0.782625019550324,0.800473988056183,0.815060436725617,0.840187430381775,0.857286036014557,0.876031696796417,0.888648688793182,0.910050928592682,0.906240344047546,0.943577587604523,0.958457350730896,0.975152850151062,0.982337236404419,0.996487200260162,1.00496065616608,0.985210716724396,0.977979719638825,1.0089818239212,1.01969170570374,1.01481401920319,0.996707141399384,0.979159235954285,0.9754758477211,0.96053558588028,0.968012690544128,0.988199591636658,0.992042243480682,0.976763248443604,0.975966572761536,0.976058006286621,0.968039929866791,0.952999651432037,0.940819501876831,0.946056246757507,0.955627501010895,0.968688488006592,0.971674859523773,0.961319446563721,0.96885097026825,0.973100066184998,0.986181378364563,1.00530660152435,1.00717604160309,1.01476728916168,1.00789761543274,1.00824904441834,1.01540660858154,1.01398301124573,1.0032993555069,0.988963186740875,0.971051096916199,0.973248600959778,0.982724726200104,0.976195514202118,0.981455147266388,0.997773766517639,0.987293541431427,0.986912786960602,0.997301816940308,0.999647378921509,1.00013959407806,1.02430558204651,1,1.00102639198303,0.982741117477417
CHE,Switzerland,rtfpna,TFP at constant national prices (2021=1),0.728282988071442,0.758265852928162,0.781585276126862,0.788614869117737,0.770643591880798,0.810496687889099,0.838420927524567,0.856803119182587,0.852977871894836,0.863703846931458,0.877453804016113,0.890436351299286,0.896968185901642,0.903301656246185,0.914943695068359,0.938287675380707,0.964812457561493,0.976113498210907,0.984067499637604,0.9943727850914,0.999549925327301,0.946499764919281,0.942972600460053,0.965661942958832,0.959901213645935,0.970435559749603,0.990587949752808,0.984272837638855,0.960853695869446,0.959898114204407,0.97670966386795,0.98797333240509,0.978949725627899,0.963750243186951,0.962054908275604,0.975001752376556,0.976402580738068,0.923223733901978,0.919645011425018,0.918733060359955,0.920109987258911,0.923241853713989,0.928009629249573,0.941680312156677,0.943330705165863,0.929841279983521,0.947008073329926,0.951619505882263,0.942570447921753,0.929595649242401,0.930697023868561,0.940775811672211,0.95516437292099,0.964894652366638,0.965215086936951,0.933072566986084,0.96581095457077,0.957312941551209,0.954273760318756,0.964377164840698,0.969626247882843,0.961967527866364,0.962637484073639,0.966078341007233,0.979909002780914,0.977952718734741,0.974069237709045,1,1.00999534130096,1.00189411640167
CHL,Chile,rtfpna,TFP at constant national prices (2021=1),,0.939993560314179,0.928662061691284,0.973747432231903,0.998965740203857,0.975000441074371,1.0480580329895,1.0634183883667,1.0851948261261,1.11852037906647,1.10037362575531,1.06670427322388,1.11631453037262,1.13653671741486,1.10142004489899,1.083136677742,1.08381462097168,1.09303152561188,1.02760684490204,0.946329534053803,0.947197079658508,0.808814227581024,0.81123274564743,0.856418251991272,0.893993318080902,0.927039980888367,0.941825687885284,0.945495963096619,0.836577415466309,0.78148877620697,0.79983389377594,0.787246882915497,0.80251145362854,0.832439780235291,0.863067448139191,0.906276643276215,0.897164762020111,0.932247579097748,0.990341663360596,1.01717042922974,1.03475403785706,1.07660448551178,1.09122240543365,1.11760067939758,1.09577584266663,1.06977987289429,1.07545137405396,1.07395660877228,1.0639420747757,1.06942570209503,1.09067583084106,1.10056138038635,1.09664452075958,1.09316873550415,1.07661354541779,1.02858829498291,1.03552210330963,1.03923416137695,1.04053974151611,1.02323889732361,1.0088175535202,0.992441356182098,0.982088506221771,0.971944212913513,0.984026730060577,0.962496101856232,0.963732302188873,1,0.955251455307007,0.928955614566803
