cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
932470,TELECOM ARGENTINA SA,Argentina,2022,20-F,167647,1,0,1,0,0,0,1,0.0596,0.0596
932470,TELECOM ARGENTINA SA,Argentina,2023,20-F,166546,6,0,6,0,0,0,6,0.3603,0.3603
932470,TELECOM ARGENTINA SA,Argentina,2024,20-F,171521,5,2,7,18,0,0,7,0.4081,0.4081
932470,TELECOM ARGENTINA SA,Argentina,2025,20-F,184952,10,6,16,29,0,0,16,0.8651,0.8651
932782,MEXICAN PETROLEUM,Mexico,2017,20-F,211155,0,0,0,0,1,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2018,20-F,205104,0,0,0,0,1,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2019,20-F,211913,0,0,0,0,1,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2020,20-F,195120,0,0,0,0,0,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2021,20-F,214985,0,0,0,0,0,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2022,20-F,214183,0,0,0,0,0,0,0,0.0,0.0
932782,MEXICAN PETROLEUM,Mexico,2023,20-F,220453,1,0,1,0,0,0,1,0.0454,0.0454
932782,MEXICAN PETROLEUM,Mexico,2024,20-F,229808,1,0,1,0,0,0,1,0.0435,0.0435
932782,MEXICAN PETROLEUM,Mexico,2025,20-F,225257,1,0,1,0,0,0,1,0.0444,0.0444
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2017,20-F,296705,0,0,0,0,0,0,0,0.0,0.0
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2018,20-F,291173,0,0,0,0,0,0,0,0.0,0.0
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2019,20-F,311427,0,0,0,0,0,0,0,0.0,0.0
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2020,20-F,275803,0,0,0,0,0,0,0,0.0,0.0
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2021,20-F,190499,1,2,3,0,0,0,3,0.1575,0.1575
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2022,20-F,193300,2,1,3,0,0,0,3,0.1552,0.1552
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2023,20-F,204670,2,1,3,0,0,0,3,0.1466,0.1466
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2024,20-F,202873,3,1,4,0,0,0,4,0.1972,0.1972
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,2025,20-F,197128,4,1,5,0,0,0,5,0.2536,0.2536
1001290,CREDICORP LTD,Peru,2017,20-F,173488,0,0,0,0,1,0,0,0.0,0.0
1001290,CREDICORP LTD,Peru,2018,20-F,192873,0,1,1,0,1,0,1,0.0518,0.0518
1001290,CREDICORP LTD,Peru,2019,20-F,211671,0,3,3,0,1,0,3,0.1417,0.1417
1001290,CREDICORP LTD,Peru,2020,20-F,242478,0,0,0,0,0,0,0,0.0,0.0
1001290,CREDICORP LTD,Peru,2021,20-F,284065,2,0,2,1,1,0,2,0.0704,0.0704
1001290,CREDICORP LTD,Peru,2022,20-F,285582,5,1,6,2,1,0,6,0.2101,0.2101
1001290,CREDICORP LTD,Peru,2023,20-F,280539,8,1,9,3,1,0,9,0.3208,0.3208
1001290,CREDICORP LTD,Peru,2024,20-F,280901,22,9,31,29,1,0,31,1.1036,1.1036
1001290,CREDICORP LTD,Peru,2025,20-F,283275,39,15,54,47,0,0,54,1.9063,1.9063
1001838,SOUTHERN COPPER CORP/,Peru,2017,10-K,91472,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2018,10-K,93035,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2019,10-K,107196,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2020,10-K,108245,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2021,10-K,119213,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2022,10-K,122837,0,0,0,0,1,0,0,0.0,0.0
1001838,SOUTHERN COPPER CORP/,Peru,2023,10-K,126957,1,0,1,6,1,0,1,0.0788,0.0788
1001838,SOUTHERN COPPER CORP/,Peru,2024,10-K,130776,2,0,2,6,1,0,2,0.1529,0.1529
1001838,SOUTHERN COPPER CORP/,Peru,2025,10-K,136631,1,0,1,6,1,0,1,0.0732,0.0732
1013131,BUENAVENTURA MINING CO INC,Peru,2017,20-F,164841,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2018,20-F,172800,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2019,20-F,177365,0,0,0,0,1,0,0,0.0,0.0
