cik,name,country,fy,revenue,revenue_concept,cogs,cogs_concept,ppe_net,ppe_net_concept,assets,assets_concept,intangibles,intangibles_concept,goodwill,goodwill_concept,rnd,rnd_concept,liabilities,liabilities_concept,units
910631,COCA COLA FEMSA SAB DE CV,Mexico,2016,,,98056000000,ifrs-full:CostOfSales,65288000000,ifrs-full:PropertyPlantAndEquipment,279256000000,ifrs-full:Assets,,,118920000000,ifrs-full:Goodwill,,,150023000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2017,,,99748000000,ifrs-full:CostOfSales,75827000000,ifrs-full:PropertyPlantAndEquipment,285677000000,ifrs-full:Assets,,,118130000000,ifrs-full:Goodwill,,,144967000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2018,,,98404000000,ifrs-full:CostOfSales,61942000000,ifrs-full:PropertyPlantAndEquipment,263787000000,ifrs-full:Assets,,,111347000000,ifrs-full:Goodwill,,,132037000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2019,,,106964000000,ifrs-full:CostOfSales,61187000000,ifrs-full:PropertyPlantAndEquipment,257839000000,ifrs-full:Assets,,,107088000000,ifrs-full:Goodwill,,,128154000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2020,,,100804000000,ifrs-full:CostOfSales,59460000000,ifrs-full:PropertyPlantAndEquipment,263066000000,ifrs-full:Assets,,,100082000000,ifrs-full:Goodwill,,,140609000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2021,189376000000,us-gaap:Revenues,106206000000,ifrs-full:CostOfSales,62183000000,ifrs-full:PropertyPlantAndEquipment,271567000000,ifrs-full:Assets,,,,,,,143995000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2022,220251000000,us-gaap:Revenues,126440000000,ifrs-full:CostOfSales,71205000000,ifrs-full:PropertyPlantAndEquipment,277995000000,ifrs-full:Assets,,,,,,,146119000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2023,236635000000,us-gaap:Revenues,134228000000,ifrs-full:CostOfSales,78730000000,ifrs-full:PropertyPlantAndEquipment,273520000000,ifrs-full:Assets,,,,,,,139815000000,ifrs-full:Liabilities,MXN
910631,COCA COLA FEMSA SAB DE CV,Mexico,2024,,,151057000000,ifrs-full:CostOfSales,99381000000,ifrs-full:PropertyPlantAndEquipment,307986000000,ifrs-full:Assets,,,,,,,157445000000,ifrs-full:Liabilities,MXN
912505,ENEL AMERICAS S.A.,Chile,2016,7007908000,ifrs-full:Revenue,,,,,,,1810158000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,288000,ifrs-full:ResearchAndDevelopmentExpense,,,USD
912505,ENEL AMERICAS S.A.,Chile,2017,9489266000,ifrs-full:Revenue,,,8092467000,ifrs-full:PropertyPlantAndEquipment,20168991000,ifrs-full:Assets,3682479000,ifrs-full:IntangibleAssetsOtherThanGoodwill,713175000,ifrs-full:Goodwill,137000,ifrs-full:ResearchAndDevelopmentExpense,11890484000,ifrs-full:Liabilities,USD
