cik,name,country,sic,sic_desc,form,status,fy,revenue,cogs,assets,ppe_net,intangibles,goodwill,rnd,liabilities,currency,revenue_concept,employees,emp_matches,ai_exposure,ai_exposure_total,ai_total_mentions,filing_words,cur,revenue_usd,assets_usd,ppe_net_usd,intangibles_usd,goodwill_usd,rnd_usd,cogs_usd,ias29_ars,emp_min,emp_max,employees_clean,lprod,intang_int,rnd_int,size,sic2,exp,exp_tot
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2021,13682000000.0,10629000000.0,23290000000.0,16003000000.0,419000000.0,,19000000.0,15026000000.0,USD,ifrs-full:Revenue,22932.0,1.0,0.0,0.0,0.0,221802.0,USD,12376754745.379055,21068163866.3849,14476334321.75859,379027937.3128069,,17187424.365019884,9615007030.30507,0,22932.0,22932.0,22932.0,13.19879733892695,0.01799055388578789,0.0013886858646396725,23.771028916512666,29,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2022,18757000000.0,13684000000.0,25912000000.0,17510000000.0,384000000.0,,27000000.0,15360000000.0,USD,ifrs-full:Revenue,23301.0,1.0,0.0,0.0,0.0,215889.0,USD,15710339251.946127,21703167387.98465,14665886884.980364,321627673.5483986,,22614445.796371777,11461336158.42783,0,23301.0,23301.0,23301.0,13.421333326542682,0.014819388700216115,0.0014394626006290984,23.800724049421262,29,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2023,17311000000.0,13853000000.0,25035000000.0,17712000000.0,367000000.0,,23000000.0,15984000000.0,USD,ifrs-full:Revenue,,0.0,0.0471,0.0471,1.0,212138.0,USD,13925969995.506535,20139602497.689682,14248557596.927488,295236034.2181791,,18502530.754817765,11144154719.41263,0,,,,,0.014659476732574396,0.0013286349719831322,23.725953987085234,29,0.0471,0.0471
904851,YPF SOCIEDAD ANONIMA,Argentina,2911,Petroleum Refining,20-F,active,2024,19293000000.0,13910000000.0,29391000000.0,18736000000.0,491000000.0,,40000000.0,17521000000.0,USD,ifrs-full:Revenue,,0.0,0.1835,0.1835,4.0,217959.0,USD,15075742642.78884,22966420567.78141,14640497286.854904,383672297.60064894,,31256398.989869565,10869412748.727142,0,,,,,0.016705794290769283,0.0020732908308713003,23.857299010759288,29,0.1835,0.1835
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2017,2157323000.0,1394822000.0,4296236000.0,1429354000.0,113787000.0,37972000.0,,2048768000.0,USD,ifrs-full:Revenue,4921.0,2.0,0.0,0.0,0.0,151631.0,USD,2157323000.0,4296236000.0,1429354000.0,113787000.0,37972000.0,,1394822000.0,0,4921.0,4921.0,4921.0,12.990866897293012,0.03532371126725813,,22.181005127467206,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2018,2265803000.0,1485631000.0,4268094000.0,1454823000.0,189350000.0,34866000.0,1.7,2130292000.0,USD,ifrs-full:Revenue,5290.0,2.0,0.0,0.0,0.0,155831.0,USD,2211778468.561855,4166327968.935535,1420135019.226545,184835245.1745307,34034674.720122464,1.6594661568349733,1450208450.6146462,0,5290.0,5290.0,5290.0,12.943489240902412,0.052533051052765,7.502858809878881e-10,22.15030090182708,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2019,1943655000.0,1383603000.0,4684151000.0,1569906000.0,188358000.0,34726000.0,1.7,2549679000.0,USD,ifrs-full:Revenue,5741.0,2.0,0.0,0.0,0.0,147943.0,USD,1863540318.7419841,4491076990.296932,1505196718.3656325,180594152.43837136,33294643.909867823,1.6299284296139867,1326572861.7642357,0,5741.0,5741.0,5741.0,12.690355222511938,0.04762527937293226,8.746408184580083e-10,22.225358374146424,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2020,1817191000.0,1334321000.0,4818463000.0,1737319000.0,178407000.0,41966000.0,,2655885000.0,USD,ifrs-full:Revenue,5507.0,2.0,0.0,0.0,0.0,144057.0,USD,1721058277.7163181,4563557508.275026,1645411652.3710697,168968943.90987805,39745921.965628825,,1263732982.4882004,0,5507.0,5507.0,5507.0,12.652429927045592,0.04573512342006155,,22.2413683116332,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2021,2862315000.0,1772208000.0,7180201000.0,2012225000.0,179658000.0,34596000.0,,3964230000.0,USD,ifrs-full:Revenue,6081.0,2.0,0.0,0.0,0.0,198488.0,USD,2589253819.5453625,6495219032.270534,1820261315.415902,162518857.1879338,31295585.964854103,,1603141629.4254293,0,6081.0,6081.0,6081.0,12.961711135467173,0.029839554630852253,,22.59433220971368,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2022,10710578000.0,4973953000.0,10819101000.0,2726838000.0,166336000.0,967000.0,,5887100000.0,USD,ifrs-full:Revenue,6997.0,2.0,0.0,0.0,0.0,204827.0,USD,8970880949.215261,9061776782.591545,2283923338.7587714,139318387.25871468,809932.1883367226,,4166044093.0444736,0,6997.0,6997.0,6997.0,14.06401295406373,0.015463669301173915,,22.927331050642508,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2023,7467490000.0,4392436000.0,10778837000.0,3609937000.0,155874000.0,958000.0,,6301408000.0,USD,ifrs-full:Revenue,7682.0,2.0,0.0,0.0,0.0,202573.0,USD,6007281016.795396,8671120134.507288,2904042189.802373,125394064.2989767,770670.6288311051,,3533529659.9377704,0,7682.0,7682.0,7682.0,13.569602864368449,0.014549992731126745,,22.883263815992002,14,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),20-F,active,2024,4528761000.0,3201654000.0,11495569000.0,4433645000.0,167968000.0,948000.0,,6297502000.0,USD,ifrs-full:Revenue,8344.0,3.0,0.0,0.0,0.0,208531.0,USD,3538819018.644017,8982752281.989397,3464494427.4860063,131251870.63826029,740776.6560599087,,2501804371.2877965,0,7258.0,8344.0,8344.0,12.957760901198569,0.014694009491831158,,22.918572162501256,14,0.0,0.0
