cik,fy,form,employees,emp_matches,emp_min,emp_max
1076378,2025,20-F,39886,3,1182,39886
1094972,2017,20-F,16448,2,16448,16448
1094972,2018,20-F,17034,4,619,17034
1094972,2019,20-F,16024,4,613,16024
1094972,2020,20-F,946,1,946,946
1094972,2021,20-F,16442,1,16442,16442
1094972,2022,20-F,9778,2,9778,9778
1094972,2023,20-F,729,1,729,729
1094972,2024,20-F,558,1,558,558
1094972,2025,20-F,11302,2,11302,11302
1099590,2017,10-K,,0,,
1099590,2018,10-K,2409,1,2409,2409
1099590,2019,10-K,3492,1,3492,3492
1099590,2020,10-K,5201,1,5201,5201
1099590,2021,10-K,9471,1,9471,9471
1099590,2022,10-K,40548,2,13856,40548
1099590,2023,10-K,15638,1,15638,15638
1099590,2024,10-K,60000,2,18282,60000
1099590,2025,10-K,81000,2,20347,81000
1110649,2017,20-F,,0,,
1114700,2017,20-F,4575,19,158,12131
1114700,2018,20-F,1000,2,1000,1000
1114700,2019,20-F,1000,1,1000,1000
1114700,2020,20-F,1000,2,1000,1000
1114700,2021,20-F,1000,1,1000,1000
1114700,2022,20-F,,0,,
1114700,2023,20-F,,0,,
1114700,2024,20-F,2843,1,2843,2843
1114700,2025,20-F,2843,1,2843,2843
1119639,2022,20-F,1053,4,735,38000
1119639,2023,20-F,1076,4,475,39235
1119639,2024,20-F,1097,3,1097,41081
1119639,2025,20-F,1234,2,1234,1234
1122491,2017,20-F,108234,4,9000,108234
1122491,2018,20-F,105000,3,20739,105000
1122491,2019,20-F,93000,3,6717,93000
1122491,2020,20-F,100000,3,7335,100000
1122491,2021,20-F,100000,5,7184,100000
1122491,2022,20-F,100000,5,7040,100000
1122491,2023,20-F,100000,4,100000,100000
1122491,2024,20-F,100000,4,100000,100000
1123452,2017,20-F,1494,1,1494,1494
1123452,2018,20-F,,0,,
1123452,2019,20-F,,0,,
1123452,2020,20-F,,0,,
1123452,2021,20-F,,0,,
1123452,2022,20-F,,0,,
1123452,2023,20-F,,0,,
1123452,2024,20-F,,0,,
1123452,2025,20-F,,0,,
1128173,2017,20-F,947,2,947,947
1128173,2018,20-F,928,2,928,928
1128173,2019,20-F,865,2,865,865
1128173,2020,20-F,784,2,784,784
1128173,2021,20-F,590,2,590,590
1129137,2017,20-F,57400,1,57400,57400
1129137,2018,20-F,120000,1,120000,120000
1129137,2019,20-F,113000,1,113000,113000
1129137,2020,20-F,,0,,
1129137,2021,20-F,,0,,
1129137,2022,20-F,,0,,
1129137,2023,20-F,,0,,
1129137,2024,20-F,,0,,
1129137,2025,20-F,,0,,
1132597,2019,20-F,94881,1,94881,94881
1132597,2020,20-F,96540,1,96540,96540
1132597,2021,20-F,99598,4,96540,99598
1132597,2022,20-F,101094,3,99598,101094
1132597,2023,20-F,95702,3,95702,101094
1132597,2024,20-F,96219,3,95702,96219
1132597,2025,20-F,92470,3,92470,96219
1157557,2017,20-F,1189,7,175,7860
1157557,2018,20-F,578,11,151,7119
1157557,2019,20-F,5596,6,151,6083
1157557,2020,20-F,5254,5,151,6083
1157557,2021,20-F,5254,4,324,5596
1157557,2022,20-F,4969,5,155,5254
1157557,2023,20-F,4969,3,4917,5025
1157557,2024,20-F,5028,2,357,5028
1157557,2025,20-F,5320,2,118,5320
1160330,2017,20-F,92861,10,7400,108793
1160330,2018,20-F,98605,5,98605,108793
1160330,2019,20-F,97329,5,178,98808
1160330,2020,20-F,89575,3,89575,97329
1160330,2021,20-F,87274,3,15000,87274
1160330,2022,20-F,88381,2,88381,88381
1160330,2023,20-F,86222,2,86222,86222
1160330,2024,20-F,84022,2,84022,84022
1160330,2025,20-F,82095,2,82095,82095
1160846,2017,20-F,55446,3,1390,55446
1160846,2018,20-F,56875,3,365,56875
1160846,2019,20-F,58089,3,326,58089
1160846,2020,20-F,46624,2,231,46624
1161125,2017,20-F,14023,5,10900,41745
1161125,2018,20-F,13831,2,11381,13831
1161125,2019,20-F,13555,4,200,13562
1161125,2020,20-F,13134,2,13134,13134
1161125,2021,20-F,12284,2,12284,12284
1161125,2022,20-F,12550,2,12550,12550
1161125,2023,20-F,12217,2,12217,12217
1161125,2024,20-F,11614,2,11614,11614
1161125,2025,20-F,11156,2,11156,11156
1170858,2017,20-F,,0,,
1170858,2018,20-F,,0,,
1170858,2019,20-F,,0,,
1170858,2020,20-F,12806,4,5900,12806
1170858,2021,20-F,12515,4,5900,12515
1170858,2022,20-F,12999,3,6000,12999
1170858,2023,20-F,11170,4,1854,11170
1170858,2024,20-F,10512,4,1854,10512
1170858,2025,20-F,8678,4,1854,8678
1190723,2017,20-F,,0,,
1190723,2018,20-F,,0,,
1190723,2019,20-F,,0,,
1190723,2020,20-F,,0,,
1190723,2021,20-F,23000,3,1000,23000
1190723,2022,20-F,,0,,
1190723,2023,20-F,400,1,400,400
1190723,2024,20-F,58000,1,58000,58000
1190723,2025,20-F,64870,1,64870,64870
1273441,2020,10-K,322,2,322,322
1273441,2021,10-K,319,2,319,319
1273441,2022,10-K,336,2,336,336
1273441,2023,10-K,351,2,351,351
1273441,2024,10-K,431,2,431,431
1273441,2025,10-K,406,2,406,406
1276671,2017,20-F,9492,3,5848,9492
1276671,2018,20-F,9179,3,5685,9179
1276671,2019,20-F,8987,3,5616,8987
1276671,2020,20-F,8364,3,5220,8364
1276671,2021,20-F,7816,3,5078,7816
1276671,2022,20-F,7558,2,7558,7558
1291733,2017,20-F,14532,2,14532,14532
1291733,2018,20-F,15259,5,14532,107000
1291733,2019,20-F,16222,6,700,107000
1291733,2020,20-F,700,3,700,107000
1291733,2021,20-F,750,1,750,750
1291733,2022,20-F,750,1,750,750
1291733,2023,20-F,750,1,750,750
1300482,2017,20-F,13344,3,2006,13344
1300482,2018,20-F,13467,3,2006,13467
1300482,2019,20-F,13302,3,2006,13302
1342874,2017,20-F,,0,,
1342874,2018,20-F,,0,,
1342874,2019,20-F,,0,,
1342874,2020,20-F,,0,,
1342874,2021,20-F,,0,,
1342874,2022,20-F,,0,,
1342874,2023,20-F,13445,1,13445,13445
1342874,2024,20-F,13445,1,13445,13445
1342874,2025,20-F,,0,,
1345105,2017,20-F,,0,,
1345105,2018,20-F,,0,,
1345105,2019,20-F,,0,,
1345105,2020,20-F,,0,,
1345105,2021,20-F,,0,,
1345105,2022,20-F,,0,,
1345105,2023,20-F,,0,,
1345105,2024,20-F,,0,,
1345105,2025,20-F,,0,,
1347557,2017,20-F,206,2,169,206
1347557,2018,20-F,206,2,191,206
1347557,2019,20-F,209,2,130,209
1347557,2020,20-F,192,2,185,192
1347557,2021,20-F,249,2,185,249
1347557,2022,20-F,270,1,270,270
1347557,2023,20-F,308,1,308,308
1347557,2024,20-F,315,1,315,315
1347557,2025,20-F,449,1,449,449
1355444,2017,20-F,,0,,
1355444,2018,20-F,3300,2,3300,3300
1355444,2019,20-F,6460,2,6460,6460
1355444,2020,20-F,1600,19,900,15658
1355444,2021,20-F,2000,4,1600,2500
1355444,2022,20-F,2800,1,2800,2800
1355444,2023,20-F,8000,1,8000,8000
1355444,2024,20-F,,0,,
1355444,2025,20-F,,0,,
1378239,2017,20-F,1250,2,1250,1250
1378239,2018,20-F,1148,2,1148,1148
1378239,2019,20-F,1160,2,1160,1160
1378239,2020,20-F,1003,2,1003,1003
1378239,2021,20-F,1182,2,1182,1182
1378239,2022,20-F,1256,2,1256,1256
1378239,2023,20-F,1270,2,1270,1270
1378239,2024,20-F,1326,2,1326,1326
1378239,2025,20-F,1355,2,1355,1355
1389207,2017,20-F,646,1,646,646
1389207,2018,20-F,422,1,422,422
1389207,2019,20-F,215,1,215,215
1389207,2020,20-F,277,1,277,277
1389207,2021,20-F,400,1,400,400
1395213,2017,20-F,4789,9,2927,5477
1395213,2018,20-F,4922,10,4045,7397
1395213,2019,20-F,5477,10,4777,7397
1395213,2020,20-F,5588,10,4776,7397
1395213,2021,20-F,4777,11,1800,5977
1395213,2022,20-F,5756,10,4658,5977
1395213,2023,20-F,4688,12,4635,6647
1395213,2024,20-F,4658,12,4635,7469
1395213,2025,20-F,4642,12,4576,7469
1402902,2017,20-F,11230,2,11230,11230
1402902,2018,20-F,11632,2,11632,11632
1402902,2019,20-F,11909,2,11909,11909
1430162,2020,20-F,11930,1,11930,11930
1430162,2021,20-F,10581,1,10581,10581
1430162,2022,20-F,11181,1,11181,11181
1430162,2023,20-F,11656,1,11656,11656
1430162,2024,20-F,12090,1,12090,12090
1430162,2025,20-F,12787,1,12787,12787
1432364,2017,20-F,10311,1,10311,10311
1432364,2018,20-F,,0,,
1432364,2019,20-F,,0,,
1432364,2020,20-F,,0,,
1432364,2021,20-F,,0,,
1432364,2022,20-F,,0,,
